Source,Target,Type,Id,Label,Weight
42464128,455442137,Undirected,741,,1
42464128,42480320,Undirected,742,,1
42464160,598784355,Undirected,743,,1
42464200,42473313,Undirected,744,,2
42464200,42476675,Undirected,745,,1
42464209,42502281,Undirected,746,,2
42464209,597676556,Undirected,747,,2
42464209,42474010,Undirected,748,,2
42464239,42490972,Undirected,749,,1
42464239,42491495,Undirected,750,,2
42464239,42504249,Undirected,751,,1
42464290,476025877,Undirected,752,,1
42464292,42467912,Undirected,753,,2
42464292,42476636,Undirected,755,,1
42464341,42515989,Undirected,756,,1
42464344,42464341,Undirected,757,,1
42464344,42476352,Undirected,758,,1
42464355,42464365,Undirected,759,,1
42464355,42520535,Undirected,760,,2
42464355,7968758136,Undirected,761,,2
42464355,42490980,Undirected,762,,2
42464365,42464368,Undirected,763,,1
42464365,1167642566,Undirected,764,,2
42464365,42520539,Undirected,765,,2
42464368,1167643922,Undirected,766,,2
42464368,42464374,Undirected,767,,1
42464368,42492163,Undirected,768,,2
42464374,42464377,Undirected,769,,1
42464374,1167644163,Undirected,770,,2
42464374,42520544,Undirected,771,,2
42464377,1167644433,Undirected,772,,2
42464377,42464380,Undirected,773,,1
42464377,42520547,Undirected,774,,2
42464380,1167644544,Undirected,775,,2
42464380,4643580007,Undirected,776,,1
42464380,42494809,Undirected,777,,2
42464383,1167643058,Undirected,778,,2
42464383,42464385,Undirected,779,,1
42464385,1167643134,Undirected,780,,2
42464385,42464386,Undirected,781,,1
42464386,1167644902,Undirected,782,,2
42464386,4643580006,Undirected,783,,1
42464388,1167645331,Undirected,784,,2
42464388,42464389,Undirected,785,,1
42464389,1167645398,Undirected,786,,2
42464389,42464392,Undirected,787,,1
42464392,2356694542,Undirected,788,,1
42464396,1167630572,Undirected,789,,2
42464396,42464397,Undirected,790,,1
42464397,1167630417,Undirected,791,,1
42464397,1167632404,Undirected,792,,1
42464398,1167631659,Undirected,793,,1
42464398,42464401,Undirected,794,,1
42464401,1167626042,Undirected,795,,1
42464407,9713116782,Undirected,796,,2
42464407,1173673664,Undirected,797,,2
42464407,42487026,Undirected,798,,2
42464409,42490339,Undirected,799,,2
42464409,42474056,Undirected,800,,2
42464411,42494194,Undirected,801,,1
42464411,42464409,Undirected,802,,1
42464415,42494201,Undirected,803,,1
42464415,42464411,Undirected,804,,1
42464419,42464415,Undirected,805,,1
42464419,42484219,Undirected,806,,2
42464419,42484216,Undirected,807,,2
42464433,42493528,Undirected,808,,2
42464433,42483674,Undirected,809,,3
42464434,42496595,Undirected,811,,2
42464434,42483677,Undirected,812,,2
42464434,42464433,Undirected,813,,1
42464435,42464439,Undirected,814,,1
42464435,42464434,Undirected,815,,1
42464435,9258589450,Undirected,816,,2
42464435,9258589447,Undirected,817,,2
42464439,42491799,Undirected,818,,2
42464439,9258589447,Undirected,819,,2
42464442,42464444,Undirected,820,,1
42464442,42496570,Undirected,821,,2
42464442,42483729,Undirected,822,,2
42464444,42483733,Undirected,823,,2
42464444,42496574,Undirected,824,,2
42464444,42464445,Undirected,825,,1
42464445,42496577,Undirected,826,,2
42464445,42483736,Undirected,827,,2
42464445,42464452,Undirected,828,,1
42464452,42496581,Undirected,829,,2
42464452,42483740,Undirected,830,,2
42464452,42464454,Undirected,831,,1
42464454,42479852,Undirected,832,,1
42464454,42464457,Undirected,833,,1
42464457,42496585,Undirected,834,,2
42464457,42483745,Undirected,835,,2
42464457,42464460,Undirected,836,,1
42464460,42496587,Undirected,837,,2
42464460,42483749,Undirected,838,,2
42464460,42464463,Undirected,839,,1
42464463,42485867,Undirected,840,,1
42464467,42464469,Undirected,841,,1
42464469,42464472,Undirected,842,,1
42464469,42483764,Undirected,843,,2
42464469,42496618,Undirected,844,,2
42464472,42464475,Undirected,845,,1
42464472,42496620,Undirected,846,,2
42464472,42483768,Undirected,847,,2
42464475,42464478,Undirected,848,,1
42464475,42496623,Undirected,849,,2
42464475,42483772,Undirected,850,,2
42464478,42464482,Undirected,851,,1
42464478,42483778,Undirected,852,,2
42464478,42496627,Undirected,853,,2
42464482,2317462484,Undirected,854,,1
42464482,42483782,Undirected,855,,2
42464505,2317462477,Undirected,856,,1
42464505,42530599,Undirected,857,,2
42464505,42481782,Undirected,858,,2
42464509,2279612185,Undirected,859,,1
42464509,42531267,Undirected,860,,2
42464509,42483699,Undirected,861,,2
42464511,42464509,Undirected,862,,1
42464511,42470839,Undirected,863,,2
42464511,42470834,Undirected,864,,2
42464514,42464511,Undirected,865,,1
42464514,42531271,Undirected,866,,2
42464514,42483710,Undirected,867,,2
42464516,42464514,Undirected,868,,1
42464516,42479070,Undirected,869,,2
42464516,42479068,Undirected,870,,2
42464517,42464516,Undirected,871,,1
42464517,42531276,Undirected,872,,2
42464551,42500778,Undirected,873,,1
42464551,42464553,Undirected,874,,1
42464553,42483496,Undirected,875,,1
42464560,42498825,Undirected,876,,2
42464560,42480153,Undirected,877,,2
42464560,42464562,Undirected,878,,1
42464560,42499385,Undirected,879,,2
42464562,42489019,Undirected,880,,2
42464562,42480155,Undirected,881,,2
42464562,42464564,Undirected,882,,1
42464564,42464953,Undirected,883,,2
42464564,42464948,Undirected,884,,2
42464576,42529893,Undirected,885,,2
42464576,42488507,Undirected,886,,1
42464580,42526757,Undirected,887,,2
42464580,42464576,Undirected,888,,1
42464589,8115286460,Undirected,889,,1
42464589,42469876,Undirected,890,,1
42464610,598043811,Undirected,891,,1
42464621,4209410682,Undirected,892,,2
42464621,1258875665,Undirected,893,,1
42464621,42464610,Undirected,894,,1
